Forme,Couleur,X,Y
Non detecte,Bleu,2153,968
Triangle,Bleu,1631,813
Triangle,Bleu,1924,767
Cercle,Bleu,1766,726
Cercle,Bleu,1743,584
Rectangle,Bleu,43,740
Cercle,Bleu,1636,638
Triangle,Bleu,1785,834
Rectangle,Bleu,1945,537
Cercle,Bleu,1744,244
Rectangle,Bleu,1594,157
Cercle,Bleu,1712,144
Cercle,Bleu,1646,145
Triangle,Bleu,2004,135
Rectangle,Bleu,1689,132
Rectangle,Bleu,1975,122
Cercle,Bleu,1750,125
Cercle,Bleu,1784,125
Rectangle,Bleu,1804,109
Cercle,Bleu,1851,94
Cercle,Bleu,1882,78
Cercle,Bleu,1916,80
Cercle,Bleu,1945,74
Cercle,Jaune,2995,1029
Rectangle,Jaune,3019,951
Rectangle,Jaune,911,907
Non detecte,Jaune,1418,956
Rectangle,Jaune,2175,809
Non detecte,Jaune,587,841
Triangle,Jaune,77,808
Cercle,Jaune,570,793
Cercle,Jaune,3075,726
Rectangle,Jaune,1154,875
Rectangle,Jaune,606,643
Non detecte,Jaune,490,767
Cercle,Jaune,1636,589
Rectangle,Jaune,835,588
Rectangle,Jaune,301,666
Cercle,Jaune,599,457
Triangle,Jaune,2719,551
Triangle,Jaune,552,479
Cercle,Jaune,1080,430
Non detecte,Jaune,860,709
Cercle,Jaune,808,422
Non detecte,Jaune,702,714
Triangle,Jaune,2996,511
Cercle,Jaune,710,384
Cercle,Jaune,1066,347
Rectangle,Jaune,1846,791
Non detecte,Jaune,1237,746
Rectangle,Jaune,312,252
Cercle,Jaune,1343,72
Cercle,Rose,428,1262
