caractère associé;type d’info;francais;english
f;commande;avance;forward
f;commande;avances;forward
f;commande;avancer;forward
f;commande;avançant;forward
b;commande;recule;backward
b;commande;recules;backward
b;commande;reculer;backward
b;commande;reculant;backward
c;commande;demi-tour;around
t;commande;tournes;turn
t;commande;tourner;turn
t;commande;tourne;turn
z;commande;zigzag;zigzag
z;commande;zig;zig
a;commande;encore;again
r;direction;droite;right
l;direction;gauche;left
s;vitesse;rapidement;fast
s;vitesse;rapide;fast
s;vitesse;vite;fast
cm;unité;centimètre;centimeter
me;unité;mètre;meters
m;commande;arrêt;stop
e;commande;quitte;quit
e;commande;quitter;quit
e;commande;sortir;exit
e;commande;sors;exit
e;commande;sortie;exit
