Forme,Couleur,X,Y
Cercle,Bleu,3699,1239
Rectangle,Bleu,3390,1176
Cercle,Bleu,3214,1115
Cercle,Bleu,2582,1098
Non détecté,Bleu,3817,852
Rectangle,Bleu,3894,561
Cercle,Bleu,2305,889
Cercle,Bleu,2978,461
Triangle,Bleu,902,758
Triangle,Bleu,3851,418
Rectangle,Bleu,3151,403
Triangle,Bleu,3297,311
Cercle,Bleu,680,544
Non détecté,Bleu,2269,670
Cercle,Bleu,2901,219
Cercle,Bleu,3784,226
Cercle,Bleu,3899,135
Cercle,Bleu,1375,163
Cercle,Bleu,1146,54
Rectangle,Bleu,510,536
Cercle,Bleu,3239,657
Cercle,Bleu,1410,8
Cercle,Bleu,1275,581
Non détecté,Jaune,3933,858
Cercle,Rose,2547,1494
